SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:23; 2022-10-04 19:24; 2022-10-04 19:25; 2022-10-04 19:26
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing,2022-10-04 19:26; 2022-10-04 19:27; 2022-10-04 19:28; 2022-10-04 19:29
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:29; 2022-10-04 19:30; 2022-10-04 19:31; 2022-10-04 19:32
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:32; 2022-10-04 19:33; 2022-10-04 19:34; 2022-10-04 19:35
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:35; 2022-10-04 19:36; 2022-10-04 19:37; 2022-10-04 19:38
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:38; 2022-10-04 19:39; 2022-10-04 19:40; 2022-10-04 19:41
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:41; 2022-10-04 19:42; 2022-10-04 19:43; 2022-10-04 19:44
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:44; 2022-10-04 19:45; 2022-10-04 19:46; 2022-10-04 19:47
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:47; 2022-10-04 19:48; 2022-10-04 19:49; 2022-10-04 19:50
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:50; 2022-10-04 19:51; 2022-10-04 19:52; 2022-10-04 19:53
